Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Location,Organization Location 1,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Investor Names 1,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - NQOODLET,https://www.crunchbase.com/organization/nqoodlet,NQOODLET,Pre-Seed,"$1,000,000 ",7-Dec-21,Seed,�,Yes,"NQOODLET is an electronic platform targeting SMEs to manage their expenses, purchases through the credit cards given to the employees.",FinTech,Riyadh,Ar Riyad,https://nqoodlet.com/,�,"$1,099,956 ",Seed,2,Yasser Al-Ghamdi,OMQ Investments,Saudi Venture Capital Company,3,�,"31,365"
Seed Round - RedBox,https://www.crunchbase.com/organization/redbox-1308,RedBox,Seed,"$1,200,000 ",15-Nov-20,Seed,�,Yes,RedBox ships online products to the nearest smart locker for faster delivery and easy access.,E-Commerce,Riyadh,Ar Riyad,https://redboxsa.com/,�,"$9,580,544 ",Seed,4,Vision Ventures,Vision Ventures,,1,�,"33,666"
Seed Round - RedBox,https://www.crunchbase.com/organization/redbox-1308,RedBox,Seed,"$250,000 ",4-Aug-21,Seed,�,Yes,RedBox ships online products to the nearest smart locker for faster delivery and easy access.,E-Commerce,Riyadh,Ar Riyad,https://redboxsa.com/,�,"$9,580,544 ",Seed,4,Vision Ventures,Vision Ventures,,1,�,"33,710"
Seed Round - Raqamyah Platform,https://www.crunchbase.com/organization/raqamyah-platform,Raqamyah Platform,Seed,"$2,336,667 ",8-Feb-21,Seed,�,Yes,Raqamyah Platform is a regulated peer to peer (P2P) financing platform by Saudi Arabian Monetary Authority (SAMA).,FinTech,Riyadh,Ar Riyad,https://www.raqamyah.com/,�,"$4,836,667 ",Seed,3,,Vision Ventures,,1,�,"33,749"
Seed Round - Salla,https://www.crunchbase.com/organization/salla,Salla,Seed,"$500,000 ",21-May-19,Seed,�,Yes,Salla allows users to easily set up an e-commerce store in Arabic through their platform.,E-Commerce,Makkah,Makkah,https://salla.sa/,�,"$11,275,000 ",Early Stage Venture,4,,Vision Ventures,,1,�,"34,496"
Seed Round - Salla,https://www.crunchbase.com/organization/salla,Salla,Seed,"$1,875,000 ",12-Sep-20,Seed,�,Yes,Salla allows users to easily set up an e-commerce store in Arabic through their platform.,E-Commerce,Makkah,Makkah,https://salla.sa/,�,"$11,275,000 ",Early Stage Venture,4,,Vision Ventures,,1,�,"34,546"
Seed Round - Munjz,https://www.crunchbase.com/organization/munjz,Munjz,Seed,"$533,000 ",30-Dec-21,Seed,�,Yes,Munjz is a mobile app for connecting individuals & corporate sector looking for household services with pre-screened professionals.,Facilities Support Services,Dammam,Ash Sharqiyah,https://www.munjz.com/,�,"$2,213,000 ",Seed,5,,Vision Ventures,,1,�,"35,010"
Funding Round - Haseel,https://www.crunchbase.com/organization/haseel,Haseel,Funding Round,"$534,045 ",28-Dec-20,�,�,Yes,Haseel  is a fresh fruits and vegetables ecommerce platform .,E-Commerce,Riyadh,Ar Riyad,http://www.haseelapp.com/,�,"$7,701,045 ",Early Stage Venture,5,,Vision Ventures,,1,�,"35,012"
Series A - Gathern,https://www.crunchbase.com/organization/gathern,Gathern,Series A,"$4,375,000 ",22-Mar-22,Early Stage Venture,�,Yes,"Gathern is a booking platform of private villas, chalets, rest houses, camps, resorts, farms and other places suitable for gatherings.",Customer Service,Riyadh,Ar Riyad,https://gathern.co/,$1M to $10M,"$11,090,435 ",Early Stage Venture,6,,Vision Ventures,,1,�,"35,020"
Seed Round - Haseel,https://www.crunchbase.com/organization/haseel,Haseel,Seed,"$500,000 ",1-Nov-21,Seed,�,Yes,Haseel  is a fresh fruits and vegetables ecommerce platform .,E-Commerce,Riyadh,Ar Riyad,http://www.haseelapp.com/,�,"$7,701,045 ",Early Stage Venture,5,Vision Ventures,Vision Ventures,,1,�,"35,038"
Seed Round - Munjz,https://www.crunchbase.com/organization/munjz,Munjz,Seed,"$780,000 ",30-Mar-22,Seed,�,Yes,Munjz is a mobile app for connecting individuals & corporate sector looking for household services with pre-screened professionals.,Facilities Support Services,Dammam,Ash Sharqiyah,https://www.munjz.com/,�,"$2,213,000 ",Seed,5,,Vision Ventures,,1,�,"35,032"
Seed Round - SHROO7,https://www.crunchbase.com/organization/shroo7,SHROO7,Seed,"$50,000 ",10-Oct-19,Seed,�,Yes,SHROO7 is an educational platform that creates an online learning environment which provides comprehensive set of educational tools.,E-Learning,Riyadh,Ar Riyad,,�,"$50,000 ",Seed,2,Vision Ventures,Vision Ventures,,1,�,"35,035"
Series A - Gathern,https://www.crunchbase.com/organization/gathern,Gathern,Series A,"$1,545,435 ",21-Jul-21,Early Stage Venture,�,Yes,"Gathern is a booking platform of private villas, chalets, rest houses, camps, resorts, farms and other places suitable for gatherings.",Customer Service,Riyadh,Ar Riyad,https://gathern.co/,$1M to $10M,"$11,090,435 ",Early Stage Venture,6,,Vision Ventures,,1,�,"35,059"
Non Equity Assistance - Sadeem Technology,https://www.crunchbase.com/organization/sadeem-technology,Sadeem Technology,Non-equity Assistance,�,1-Jun-18,�,�,No,"To save lives using technology that creates safe, smart, sustainable cities.",Data Visualization,Thuwal,Ha'il,http://sadeemwss.com/,�,"$2,530,000 ",Early Stage Venture,5,,AcceliCITY powered by Leading Cities,,1,�,"35,694"
Equity Crowdfunding - Flicron,https://www.crunchbase.com/organization/flicron,Flicron,Equity Crowdfunding,"SAR4,000,086",8-Aug-21,�,"$11,341,102 ",Yes,Micro-Influencers Marketing Platform,Advertising,Riyadh,Ar Riyad,https://flicron.com/,�,"SAR5,385,086",�,4,MANAFA Capital,MANAFA Capital,,1,�,"39,089"
Grant - SunBox,https://www.crunchbase.com/organization/sunbox,SunBox,Grant,"$20,000 ",30-Jun-21,�,�,No,SunBox operates as a multinational corporation that provides clean energy services.,Clean Energy,Riyadh,Ar Riyad,https://sunbox.ps/,�,"$20,000 ",�,1,,International Finance Corporation,Village Capital,2,�,"39,317"
Seed Round - Mohtwize,https://www.crunchbase.com/organization/mohtwize,Mohtwize,Seed,"SAR1,900,000",29-Sep-21,Seed,�,Yes,Mohtwize is a podcast tech developer that creates a sustainable business model for podcasts.,Media and Entertainment,Riyadh,Ar Riyad,https://mohtwize.net/,�,"SAR1,900,000",Seed,1,Saudi Aramco Entrepreneurship Ventures,Saudi Aramco Entrepreneurship Ventures,,1,1,"39,867"
Equity Crowdfunding - Circyls,https://www.crunchbase.com/organization/jmeyte,Circyls,Equity Crowdfunding,"SAR5,001,592",2-Mar-22,�,"SAR85,179,093",Yes,"Circyls is mobile app that help users to join public ones while ensuring authenticity, covers defaults and prevent frauds",FinTech,Riyadh,Ar Riyad,https://circlys.com/,$1M to $10M,"$1,787,122 ",�,4,,,,�,�,"42,119"
Pre Seed Round - PrintHub,https://www.crunchbase.com/organization/printhub-0a54,PrintHub,Pre-Seed,�,11-Mar-22,Seed,�,Yes,PrintHub is an online marketplace and a smart designing tool that includes adjustable templates for custom packaging,E-Commerce,Riyadh,Ar Riyad,https://printhub.sa/,�,�,Seed,1,,,,�,�,"42,380"
Seed Round - Squadio,https://www.crunchbase.com/organization/ibtikar-technologies,Squadio,Seed,�,9-Jan-22,Seed,�,Yes,Squadio is a Team as a Service Platform (Taas). Our top Notch squads are ready to take over your project and transform it digitally.,Android,Riyad,Ar Riyad,https://squadio.com/,�,�,Seed,1,SEEDRA,SEEDRA,,1,1,"43,665"
Secondary Market - Lendo,https://www.crunchbase.com/organization/lendo-bdcc,Lendo,Secondary Market,�,1-Jan-22,�,�,No,Lendo is a fintech company that offers a peer-to-peer lending platform with core focus towards SMEs debt finance.,Finance,Riyadh,Ar Riyad,https://lendo.sa/,�,"$7,198,848 ",Early Stage Venture,3,Shorooq Partners,Shorooq Partners,,1,�,"44,426"
Funding Round - YNMO,https://www.crunchbase.com/organization/ynmo,YNMO,Funding Round,"$1,000,000 ",27-Mar-22,�,�,Yes,First Arabic/English digital solution that aims to improve the quality of care and educational services for individuals with special needs,Education,Mecca,Makkah,http://www.ynmodata.com/ar,�,"$1,656,666 ",�,4,Wa'ed,Wa'ed,,1,�,"44,750"
Pre Seed Round - YNMO,https://www.crunchbase.com/organization/ynmo,YNMO,Pre-Seed,"$106,666 ",1-Dec-17,Seed,�,Yes,First Arabic/English digital solution that aims to improve the quality of care and educational services for individuals with special needs,Education,Mecca,Makkah,http://www.ynmodata.com/ar,�,"$1,656,666 ",�,4,Shabbab Alghamdi,Shabbab Alghamdi,,1,�,"44,783"
Seed Round - Hakbah,https://www.crunchbase.com/organization/hakbah,Hakbah,Seed,�,7-Nov-21,Seed,�,Yes,Hakbah is a Fintech startup focusing on an alternative financial saving.,Financial Services,Riyadh,Ar Riyad,https://hakbah.sa/,Less than $1M,"$1,199,680 ",Seed,2,,Techstars,Techstars Riyadh Accelerator,2,�,"44,942"
Seed Round - Glamera,https://www.crunchbase.com/organization/glamera,Glamera,Seed,"$320,000 ",20-Jul-21,Seed,�,Yes,Glamera is An All-In-One Platform (SaaS) to power lifestyle service providers,B2C,Riyadh,Ar Riyad,https://business.glamera.com/en/,�,"$520,000 ",Seed,3,,Techstars,Techstars Riyadh Accelerator,2,�,"44,953"
Convertible Note - Nana,https://www.crunchbase.com/organization/nana-direct,Nana,Convertible Note,�,2-Aug-21,�,�,No,Nana is a grocery shopping and delivery platform that offers grocery and other home essentials delivery.,Delivery,Riyadh,Ar Riyad,https://www.nana.sa/,$1M to $10M,"$78,959,999 ",�,6,Faith Capital,Faith Capital,,1,�,"44,993"
Venture Round - Telfaz11,https://www.crunchbase.com/organization/telfaz11,Telfaz11,Venture - Series Unknown,�,7-Dec-21,�,�,Yes,"Telfaz11 specializes in the fields of talent management, comedy, entertainment, content creation, and storytelling.",Film Production,Riyadh,Ar Riyad,https://telfaz11.com/,$1M to $10M,"$9,000,000 ",�,2,Muvi Cinemas,Al Husseini Family office,Muvi Cinemas,3,�,"45,335"
Debt Financing - Retailo Technologies,https://www.crunchbase.com/organization/retailo-technologies,Retailo Technologies,Debt Financing,�,1-Feb-22,�,�,No,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain in the MENAP region.,B2B,Riyadh,Ar Riyad,https://retailo.co/,�,"$45,000,000 ",Early Stage Venture,5,IMM Investment,IMM Investment,,1,�,"48,555"
Pre Seed Round - AlGooru,https://www.crunchbase.com/organization/algooru,AlGooru,Pre-Seed,�,7-Nov-21,Seed,�,Yes,AlGooru is a mobile app that connects student with on-demand qualified tutors.,Communities,Riyadh,Ar Riyad,https://www.algooru.com/,�,"$1,800,000 ",Seed,2,,Techstars,Techstars Riyadh Accelerator,2,�,"48,721"
Pre Seed Round - Retailo Technologies,https://www.crunchbase.com/organization/retailo-technologies,Retailo Technologies,Pre-Seed,"$2,300,000 ",12-Oct-20,Seed,�,Yes,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain in the MENAP region.,B2B,Riyadh,Ar Riyad,https://retailo.co/,�,"$45,000,000 ",Early Stage Venture,5,Shorooq Partners,500 Startups,92 Ventures,4,2,"49,002"
Seed Round - Shuttle,https://www.crunchbase.com/organization/shuttle-192b,Shuttle,Seed,"SAR3,750,000",21-Dec-21,Seed,�,Yes,Digital Logistics platform with IoT based Smart Lockers distributed in cities forming a stop station for a mass transit for moving parcels,E-Commerce Platforms,Riyadh,Ar Riyad,https://shuttle-sa.com/,�,"SAR3,750,000",Seed,1,Impact46,Impact46,,1,1,"49,066"
Seed Round - Resal,https://www.crunchbase.com/organization/resal,Resal,Seed,�,28-Jan-22,Seed,�,Yes,Resal is leading the prepaid gift card market by offering all in one prepaid gift cards and rewards solutions for individuals and corporate,FinTech,Jeddah,Makkah,https://www.resal.me/,�,"$3,325,000 ",Seed,4,,VentureSouq,,1,�,"49,654"
Private Equity Round - NuYu Fitness AlWaha,https://www.crunchbase.com/organization/nuyu-fitness-alwaha,NuYu Fitness AlWaha,Private Equity,�,16-Oct-18,Private Equity,�,Yes,"Our boutique fitness centres in Riyadh, enable women of Saudi Arabia to experience freedom and self-expression through exercise.",Fitness,Riyadh,Ar Riyad,https://nuyu-ksa.com/,�,�,Private Equity,1,Arcapita Ventures,Arcapita Ventures,,1,�,"49,959"
Pre Seed Round - Mustadem,https://www.crunchbase.com/organization/mustadem,Mustadem,Pre-Seed,"$250,000 ",10-Mar-22,Seed,"$3,000,000 ",Yes,Sustainable Agri-Tech,Agriculture,Riyadh,Ar Riyad,https://www.mustadem.com/,�,"$250,000 ",Seed,1,,abdulrahman binghaith,,1,�,"50,234"
Seed Round - Telgani,https://www.crunchbase.com/organization/telgani,Telgani,Seed,"$2,500,000 ",11-Nov-21,Seed,"$10,000,000 ",Yes,Telgani is a leading car rental platform in which customers can quickly and easily rent car at a very competitive price.,Apps,Riyadh,Ar Riyad,https://telgani.com/,�,"$4,200,000 ",Seed,4,Impact46,Impact46,Nomw Capital,3,1,"50,307"
Seed Round - Mabaat,https://www.crunchbase.com/organization/mabaat,Mabaat,Seed,"SAR9,000,000",17-Aug-21,Seed,�,Yes,Mabaat is an innovative tech operator platform focused on disrupting the short-term rental market.,Hospitality,Jeddah,Makkah,https://www.mabaat.com/,�,"SAR9,000,000",Seed,1,Derayah Venture Capital,Derayah Venture Capital,SEEDRA,2,1,"50,470"
Venture Round - Grintafy Technologies,https://www.crunchbase.com/organization/grintafy-technologies,Grintafy Technologies,Venture - Series Unknown,�,1-Aug-21,�,�,Yes,Grintafy Technologies is operates a talent discovery platform for amateur footballers.,Casual Games,Jeddah,Makkah,https://grintafy.com/,Less than $1M,"$3,381,997 ",�,3,,Wa'ed,,1,�,"50,487"
Seed Round - White Helmet,https://www.crunchbase.com/organization/white-helmet,White Helmet,Seed,�,8-Dec-21,Seed,�,Yes,"White Helmet provides AI and computer vision technologies for tracking, inspection, and digital documentation of construction sites.",Artificial Intelligence,Riyadh,Ar Riyad,https://whitehelmet.sa/,�,�,Seed,1,,Wa'ed,,1,�,"50,508"
Seed Round - Speero,https://www.crunchbase.com/organization/speero,Speero,Seed,"SAR6,750,000",12-Jul-21,Seed,�,Yes,Speero is an automotive spare part market place.,Automotive,Riyadh,Ar Riyad,https://speero.net/,�,"$1,799,695 ",Seed,3,EQ2 Ventures,Access Bridge Ventures,EQ2 Ventures,6,1,"50,580"
Pre Seed Round - One4pay,https://www.crunchbase.com/organization/one4pay,One4pay,Pre-Seed,"$222,000 ",30-Dec-21,Seed,"$1,110,000 ",Yes,Payment service provider,Financial Services,Riyadh,Ar Riyad,https://www.one4pay.com/,�,"$222,000 ",Seed,1,,AMASS Investments,,1,�,"51,225"
Pre Seed Round - B Seen,https://www.crunchbase.com/organization/b-seen,B Seen,Pre-Seed,"$272,000 ",1-Jan-22,Seed,"$1,100,000 ",Yes,B Seen is a platform that offers advertising services on vehicles.,Advertising,Riyadh,Ar Riyad,https://www.b-seenapp.com/,�,"$272,000 ",Seed,1,,AMASS Investments,,1,�,"51,091"
Series A - Gathern,https://www.crunchbase.com/organization/gathern,Gathern,Series A,"$4,000,000 ",4-May-21,Early Stage Venture,�,Yes,"Gathern is a booking platform of private villas, chalets, rest houses, camps, resorts, farms and other places suitable for gatherings.",Customer Service,Riyadh,Ar Riyad,https://gathern.co/,$1M to $10M,"$11,090,435 ",Early Stage Venture,6,STV,500 Startups,Naif Sultan Al-Athel,5,1,"53,307"
Seed Round - Marn,https://www.crunchbase.com/organization/marn-pos,Marn,Seed,"$1,000,000 ",30-Jun-21,Seed,�,Yes,"Marn provides easy-to-use cloud POS solutions to clients who manage SMEs to get you all they want, to manage their store, and more.",Point of Sale,Riyadh,Ar Riyad,https://marn.com/,�,"$1,000,000 ",Seed,1,,Riyadh Angel Investors,Saudi Venture Capital Company,4,�,"53,512"
Seed Round - Rumbl,https://www.crunchbase.com/organization/rumbl,Rumbl,Seed,"SAR4,000,000",28-Sep-21,Seed,�,Yes,"Rumbl is a health and fitness app that helps people access the best healthy restaurants, gyms and fitness studios, and personal trainers.",Apps,Riyadh,Ar Riyad,https://www.rumbl.app/,�,"SAR4,000,000",Seed,1,,Business Innovation Mine (BIM),,1,�,"55,037"
Pre Seed Round - Dallali,https://www.crunchbase.com/organization/dallali,Dallali,Pre-Seed,�,1-Dec-21,Seed,�,Yes,Dallali is an integrated platform for all property management requirements with a unified dashboard and performance indicators.,Property Management,Riyadh,Ar Riyad,https://dallali.com/en/,�,�,Seed,1,AlRamz Real Estate Company,AlRamz Real Estate Company,,1,�,"55,060"
Venture Round - Rasan,https://www.crunchbase.com/organization/rasan-information-technology,Rasan,Venture - Series Unknown,"SAR90,000,000",17-Nov-21,�,�,Yes,Rasan is an insure-tech company that provides technical solutions to insurance brokerage and financial services sector.,Financial Services,Riyadh,Ar Riyad,https://www.rasan.co/,�,"SAR90,000,000",�,1,Impact46,Impact46,,1,1,"56,515"
Pre Seed Round - KartNGo,https://www.crunchbase.com/organization/kartngo,KartNGo,Pre-Seed,"$527,000 ",1-Nov-19,Seed,"$3,700,000 ",Yes,Self service Micro Stores powered by AI,Artificial Intelligence,Jiddah,Makkah,http://www.kartngo.store/,�,"$1,327,000 ",Seed,2,,Ahmed Alzalabani,,1,�,"56,801"
Seed Round - Retailo Technologies,https://www.crunchbase.com/organization/retailo-technologies,Retailo Technologies,Seed,�,14-Oct-21,Seed,�,Yes,Retailo Technologies is an online B2B marketplace that aims to technologically supercharge retail supply chain in the MENAP region.,B2B,Riyadh,Ar Riyad,https://retailo.co/,�,"$45,000,000 ",Early Stage Venture,5,,500 Startups,,1,�,"57,566"
Pre Seed Round - Torod,https://www.crunchbase.com/organization/torod,Torod,Pre-Seed,�,8-Nov-21,Seed,�,Yes,Torod is an API aggregator that enables E-store owners to track and manage returns from a single screen.,E-Commerce,Riyad,Ar Riyad,https://torod.co/,�,"$1,333,196 ",Seed,2,,Techstars,Techstars Riyadh Accelerator,2,�,"57,810"
Series A - Cura,https://www.crunchbase.com/organization/cura,Cura,Series A,"SAR15,000,000",17-Oct-21,Early Stage Venture,�,Yes,"Saudi leading telehealth platform, providing consultations, diagnosis and well-being sessions through instant messaging and live video calls",Employee Benefits,Riyadh,Ar Riyad,http://cura.healthcare/,�,"$5,052,268 ",Early Stage Venture,3,Elm,Elm,Saudi Aramco Entrepreneurship Ventures,2,2,"58,506"
Seed Round - Thatek,https://www.crunchbase.com/organization/thatek,Thatek,Seed,"SAR2,000,000",1-Aug-22,Seed,"SAR7,000,000",Yes,An innovative platform specialized in Self-Development,EdTech,Al Hufuf,Ash Sharqiyah,https://thatek.com/,�,"SAR2,000,000",Seed,1,,,,�,�,"58,866"
Pre Seed Round - Omniful,https://www.crunchbase.com/organization/omniful,Omniful,Pre-Seed,"$730,000 ",1-Jun-21,Seed,�,Yes,Omniful offers a SaaS for brick-and-mortar retailers to prepare and ship online orders directly from the store.,E-Commerce,Riyadh,Ar Riyad,http://omniful.com/,�,"$949,956 ",Seed,3,,Angel Investors,HALA Ventures,2,�,"61,438"
