Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
SICO Bank,https://www.crunchbase.com/organization/sico-bank,"Manama, Al Manamah, Bahrain","SICO is an asset manager, broker and investment bank.","273,223",info@sicobank.com,+973 1751 6060,"SICO is an asset manager, broker and investment bank with more than USD 2.1 bn in assets under management (AUM). Today SICO operates under a wholesale banking licence from the Central Bank of Bahrain and also oversees two wholly owned subsidiaries: Abu Dhabi-based brokerage firm SICO Financial Services and specialized regional custody house SICO Funds Services Company (SFS) in Bahrain. Headquartered in the Kingdom of Bahrain with a growing regional and international presence, SICO has a well-established track record as a trusted regional bank offering a comprehensive suite of financial solutions including asset management, brokerage, investment banking, and market making backed by a robust and experienced research team that provides regional insight and analysis of more than 90 percent of the GCC’s major equities. Since inception in 1995 SICO has consistently outperformed the market and developed a solid base of institutional clients. Going forward, the Bank’s continued growth will be guided by its commitments to strong corporate governance and developing trusting relationships with its clients. The Bank will also continue to invest in its information technology capabilities and the human capital of its 100 exceptional employees.",https://www.linkedin.com/company/sico-bsc-c/,,https://twitter.com/sicobank,https://www.sicobank.com,For Profit,,51-100,Gulf Cooperation Council (GCC),"Asset Management, Banking, Financial Services",,,,"1,098","4,584,587","Financial Services, Lending and Investments",,-55.6%,,,,1995-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.85%,2.46,,,,,,,
ILA Group,https://www.crunchbase.com/organization/ila-group,"Sitrah, Sitrah, Bahrain",ILA Group Investment Management,"273,301",,+973 3602 9999,,,,https://www.twitter.com/plethorathemes,http://www.ila-group.com,For Profit,,11-50,Gulf Cooperation Council (GCC),"Banking, Insurance, Real Estate",,,,"2,074","2,790,252","Financial Services, Lending and Investments, Real Estate",Less than $1M,-10.47%,26,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98%,4,,,,,,,
DINE IN,https://www.crunchbase.com/organization/dine-in-fb03,"Manama, Al Manamah, Bahrain",DINE IN is a restaurant innovation platform that delivers exceptional dining experiences in Bahrain.,"278,050",nina@dinein.me,,"A first-of-its kind service in Bahrain, DINE IN is a restaurant solutions company that redefines customer experiences for diners while offering seamless innovation to restaurateurs.  Its elegant delivery platform worthy of five-star meals, is made by restaurateurs for restaurateurs, integrating decades of hospitality experience and technology expertise to delight customers while maximizing restaurant efficiency and profitability. It is more than just a premium dining app or a food delivery service; DINE IN delivers the exceptional dining experiences both restaurateurs and diners deserve.",https://www.linkedin.com/company/dine-in-wll,https://www.facebook.com/dinein.me,,http://www.dinein.me,For Profit,Winston Damarillo,11-50,Gulf Cooperation Council (GCC),"Apps, E-Commerce, Food and Beverage, Food Delivery, Restaurants",,,,,,"Apps, Commerce and Shopping, Food and Beverage, Software, Transportation",,,47,,1,2020-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unipal,https://www.crunchbase.com/organization/unipal,"Manama, Al Manamah, Bahrain",Unipal provides university students access to tailored discounts and promotions through a digital identification.,"280,640",,,Unipal provides university students access to tailored discounts and promotions through a digital identification.,https://bh.linkedin.com/company/unipal-bh,,,https://unipal.me/,,,1-10,Gulf Cooperation Council (GCC),"Advertising, Internet",,1,,76,"6,643,304","Advertising, Internet Services, Sales and Marketing",,,35,,,2019-01-01,year,Active,,,,,,Seed,1,2020-05-19,,,,,,,Seed,,,,Seed,,,,"Flat6Labs, Tenmou",,2,,,,,,,,,,,,,,,,,,1,,,,,,,
Bahrain Credit,https://www.crunchbase.com/organization/bahrain-credit,"Manama, Al Manamah, Bahrain",Bahrain Credit provides car financing and insurance services in the Kingdom of Bahrain.,"283,279",privacy@bahraincredit.com.bh,,,https://www.linkedin.com/company/bahrain-credit,https://www.facebook.com/bahraincredit,,https://bahraincredit.com.bh/,For Profit,,251-500,Gulf Cooperation Council (GCC),"Auto Insurance, Credit, Financial Services, Lending, Life Insurance, Real Estate",,,,"17,001","962,537","Financial Services, Lending and Investments, Real Estate",$100M to $500M,-4.14%,41,6,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98%,1.6,"1,178",,,,,,
Bahrain Petroleum Company,https://www.crunchbase.com/organization/bahrain-petroleum-company,"Hamala, Al Mintaqah al Gharbiyah, Bahrain",Bapco is a regional oil and gas leader and an important contributor to modern Bahrain.,"284,316",info@bapco.net,973 17704040,,,https://www.facebook.com/bapco,https://www.twitter.com/bapco,http://www.bapco.net/en-us/Pages/default.aspx,For Profit,,1001-5000,Gulf Cooperation Council (GCC),"Energy, Renewable Energy",,9,,"28,253","718,583","Energy, Sustainability",$1M to $10M,124.87%,30,,,1929-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.93%,2.02,,,,,,,
B2G Consulting,https://www.crunchbase.com/organization/b2g-consulting,"Sanabis, Jidd Hafs, Bahrain",International Management Consulting Firm,"295,912",info@b2g-consulting.com,+ 97339887275,"B2G is an international management consultancy based in Bahrain. The main focus of the company is to support its clients in growing markets. The company has several subsidiaries in Paris, Singapore and in Melbourne. The headquarters are located in Sanabis in the Kingdom of Bahrain. B2G expertise encompasses 4 core areas:  1. Procurement & Sourcing: Exploring new growth opportunities through supply base in emerging markets  2. Manufacturing: Developing lean, agile and highly cost-efficient manufacturing capabilities  3. Supply Chain management: Optimizing the entire value chain from the suppliers to the customers  4. Services operation: Designing optimized operations in services sector to deliver the expected level of service at the lowest cost and highest profitability Specialties Management consulting, Procurement, Sourcing, Lean Manufacturing, Supply Chain Management, Services operation, OTC, Performance improvement, Business Process Re-engineering, Operational Due Dilligence, Change Management",,,http://twitter.com/B2G_Consulting,http://b2g-consulting.com,For Profit,,11-50,Gulf Cooperation Council (GCC),"Consulting, Management Consulting, Supply Chain Management",,,,,,"Professional Services, Transportation",$1M to $10M,,40,,,2010-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Majra,https://www.crunchbase.com/organization/majra,"Manama, Al Manamah, Bahrain",A career platform that focuses on matching young professionals with employers on the basis of culture fit.,"304,893",hello@majra.me,,"Started in 2017, Majra is a career platform designed for matching young professionals with employers on the basis of culture fit. With over 350 successful hires in Bahrain, Majra is now growing to be a regional startup in the GCC. Majra's platform gives job seekers the opportunity to see what's it like to work for the company, through videos and pictures of their environment and their office. It also personalizes the application process through personal profiles and assessments that focus on culture fit.",,,https://twitter.com/majrahq,https://majra.me/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Information Technology, Recruiting",,1,,492,"5,611,043","Information Technology, Professional Services",,-43.9%,50,,,2017-01-01,day,Active,,,,,,Seed,1,2019-05-23,,,,,,,Seed,,,,Seed,,,,500 Startups,,1,,,,,,,,,,,,,,,,,22.3%,3.58,,,,,,,
YK Almoayyed and Sons,https://www.crunchbase.com/organization/yk-almoayyed-and-sons,"Manama, Al Manamah, Bahrain","YK Almoayyed & Sons is a retailer and distributor of luxury goods, perfumes, cosmetics, fashion and business equipment.","306,738",,973 1721 1211,,https://in.linkedin.com/company/y-k-almoayyed-&-sons-b.s.c-,https://www.facebook.com/pg/YKAlmoayyed,https://twitter.com/ykalmoayyed?lang=en,http://www.almoayyed.com/,For Profit,,251-500,Gulf Cooperation Council (GCC),"Cosmetics, Fashion, Retail",,,,"1,202","4,278,094","Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",,-38.86%,14,,,1940-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.05%,1.9,,,,,,,
EDX Labs,https://www.crunchbase.com/organization/edx-labs,"Manama, Al Manamah, Bahrain",a movement towards innovation through technology in the Arab region; we convert visionary ideas into fully functional platforms,"307,652",info@edxlabs.com,00 973 77 360 360,"EDX Labs is the Arab world's movement towards innovation through global technology. Our mission to convert visionary ideas into fully functional platforms.  We are an innovation hub bridging the best capabilities offered by software houses, VCs and incubators.  EDX Labs builds, operates and sustains platforms to realize the next big original idea.  Why? Beyond Silicon Valley and a handful of developed countries, there are few pure R&D hubs globally. Most societies remain reliant on innovation to be driven in these territories and accept their own role as consumers; worst still, existing ideas are regularly recycled and remodeled to fit the local economy. EDX Labs aims to disrupt this practice and rely on novel platforms that solve real-world problems. EDX Labs has a successful track record of building leading technologies. Our first four SaaS ventures have gone through an in-house innovate and iterate process.  EDX Labs is currently the R&D engine behind companies such as CTM360, DMARC360, PENTEST360, and MG360.",https://www.linkedin.com/company/edx-labs/about/?viewAsMember=true,https://www.facebook.com/edxlabs/?view_public_for=370108757155176,,https://www.edxlabs.com,For Profit,Mirza Asrar Baig,1-10,Gulf Cooperation Council (GCC),"Analytics, Information Technology, Mobile",,,,"1,512","3,309,871","Data and Analytics, Information Technology, Mobile",,174.91%,38,,1,2017-10-29,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-38.96%,1.74,,,,,,,
DMS Global,https://www.crunchbase.com/organization/dms-global,"Diraz, Al Mintaqah ash Shamaliyah, Bahrain",DMS Global is a source for project information and marketing solutions for companies.,"309,318",sales@dmsglobal.net,(+973) 1740 5590,Since 2000 DMS Global has grown to become recognized as the world’s leading source for project information & marketing solutions for companies around the world.,https://www.linkedin.com/company/dms-global,,https://twitter.com/dmsglobal,http://www.dmsglobal.net,For Profit,,11-50,Gulf Cooperation Council (GCC),"Information Services, Project Management",,1,,,,"Administrative Services, Information Technology, Other",Less than $1M,,20,,,2000-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qongfu,https://www.crunchbase.com/organization/qongfu,"Manama, Al Manamah, Bahrain",The Fitness Social Network & Marketplace,"310,589",info@qongfu.com,+97339744999,"Qongfu is a Fitness Social Network & Marketplace. You can create fitness activities for yourself, friends and the community.  Here at Qongfu ""We believe in a world where people workout together"".",https://www.linkedin.com/company/qongfu,https://www.facebook.com/qongfu,,https://qongfu.com/,For Profit,Mohammed Al Fahad,1-10,Gulf Cooperation Council (GCC),"Fitness, Information Technology, Marketplace, Social Network, Sports, Wellness",,,,,,"Commerce and Shopping, Health Care, Information Technology, Internet Services, Sports",,,19,,1,2019-01-10,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Level Z,https://www.crunchbase.com/organization/level-z,"Manama, Al Manamah, Bahrain",A Startup Studio with a vision to roll out innovative startups and products that solves real world problems.,"311,711",info@lvlz.co,,,https://www.linkedin.com/company/level-z,https://www.facebook.com/level-z-762584937178767,https://www.twitter.com/levelzhq,http://www.lvlz.co,For Profit,Ricardo Gaspar,1-10,Gulf Cooperation Council (GCC),Telecommunications,,,,,,Hardware,,,28,,1,2015-09-01,month,Active,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Holding,https://www.crunchbase.com/organization/lamar-holding,"Manama, Al Manamah, Bahrain",Lamar Holding specialises in developing and operating projects across the energy market.,"314,863",,,"Lamar Holding specialises in developing and operating projects across the energy market. We have an outstanding reputation for delivering Engineering, Procurement and Construction (EPC) oil and gas contracts.",https://www.linkedin.com/company/lamar-holding/about/,,,http://lamar-holding.com/,For Profit,,,Gulf Cooperation Council (GCC),Energy,,1,,76,"6,532,957",Energy,,-77.51%,20,,,,,Active,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99%,3,,,,,,,
Hayatech,https://www.crunchbase.com/organization/hayatech,"Manama, Al Manamah, Bahrain","Hayatech is a SAAS and connected hardware platform that fosters an ecosystem around wellness through wearables, gamification, and rewards.","316,860",team@hayatech.me,,"Hayatech is a B2B, SAAS and connected hardware platform that aims to foster an ecosystem around wellness. We empower users to activate a wellness lifestyle, corporates with innovative methods for positively impacting employee productivity and ROI, and wellness brands with a platform to connect with users taking an active role in advancing their own health.",,https://web.facebook.com/hayatech.me/,,https://hayatech.me/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Gamification, Health Care, Loyalty Programs, SaaS, Wearables, Wellness",,,,582,"5,582,815","Consumer Electronics, Gaming, Hardware, Health Care, Sales and Marketing, Software",Less than $1M,,40,,,2019-04-23,day,Active,,,,,,Seed,1,2019-05-10,,,,,,,Pre-Seed,,,,Pre-Seed,,,,Brinc,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Telp,https://www.crunchbase.com/organization/telp,"Manama, Al Manamah, Bahrain",Telp is an educational platform helping students find and book lessons with tutors.,"319,688",,,"Telp is an educational platform helping students find and book lessons with tutors. The platform creates a supportive educational community where knowledge and skills can be shared and harnessed. It was founded in 2018 in Manama, Al Manamah.",https://www.linkedin.com/company/telpme/,,,http://telpme.org/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Education, Tutoring",,,,,,Education,,,20,,,2018-01-01,year,Active,,,,,,Seed,1,2020-06-03,,,,,,,Seed,,,,Seed,,,,500 Startups,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Silah Gulf,https://www.crunchbase.com/organization/silah-gulf,"Manama, Al Manamah, Bahrain","Silah Gulf is a top supplier of user experience solutions and a portal to a network of BPO, training, consultancy, & tech experiences.","327,450",info@silah.bh,+973 17155200,,https://www.linkedin.com/company/silah-gulf/,,https://www.twitter.com/SilahGulf,https://silah.bh/,For Profit,,501-1000,Gulf Cooperation Council (GCC),"Consulting, Customer Service, Outsourcing",,,,,,"Other, Professional Services",$50M to $100M,,41,,,2009-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dukakeen,https://www.crunchbase.com/organization/dukakeen-com,"Al Manama, Al Manamah, Bahrain","Dukakeen is one of the best online shopping site in Bahrain.It offers mobiles,tablets,electronics, clothes,fashion accessories and more.","336,512",support@dukakeen.com,97317540303,"Dukakeen.com features an exclusive range of a range of shopping goods from fashion clothing, jewelry, mobiles, computers to kid’s toys. Shop from your home or any place of comfort and get products delivered at your destination.",https://www.linkedin.com/company/dukakeen,https://www.facebook.com/dukakeen,https://twitter.com/Dukakeen,https://www.dukakeen.com,For Profit,Deepu Krishnan,51-100,Gulf Cooperation Council (GCC),"Consumer Electronics, E-Commerce, Electronics, Fashion, Furniture, Grocery, Lifestyle, Mobile, Retail, Shopping",,,,"5,244","1,977,092","Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Electronics, Consumer Goods, Design, Food and Beverage, Hardware, Mobile",,-10.25%,52,,1,2015-02-25,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96%,1.03,,,,,,,
COCOA,https://www.crunchbase.com/organization/cocoa-invest,"Manama, Al Manamah, Bahrain","COCOA is a leading provider of Shari’ah compliant Investment Plans accessible to all. Cost effective, expertly managed and fair.","338,955",omar@cocoainvest.dk,+45 2476 5326,"COCOA is a leading Halal online investment platform based in Bahrain. Our goal is to allow savers from all income brackets to be able to cleanly and easily invest in an ethical and Islamic-compliant diversified portfolio. Our Investment Plans are professionally managed by experts and comprise of stocks, Islamic bonds, real estate, and commodities from all over the world. All of the investments we manage are certified as Islamic-compliant and designed to provide peace of mind and confidence for our users that their investments are ethically sound and Halal.",https://www.linkedin.com/company/10320786/,https://www.facebook.com/COCOAInvest.DK/,https://twitter.com/CocoaBlogging,https://cocoainvest.com/,For Profit,Omar Shaikh,1-10,Gulf Cooperation Council (GCC),"Advice, Banking, Compliance, Financial Services, FinTech, Internet, Mobile Apps",,2,,540,"5,456,450","Apps, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Mobile, Professional Services, Software",Less than $1M,,34,,1,2015-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Alrawi Media,https://www.crunchbase.com/organization/alrawi-media,"`ali, Al Mintaqah ash Shamaliyah, Bahrain",Alrawi is a growing network of content contributors who convert Arabic books into digitally accessible audio library.,"341,074",info@alrawi.com,+973 6663 0236,"Alrawi is a growing network of content contributors who convert Arabic books into digitally accessible audio library. Alrawi is laser focused on creating a new market and new opportunities for a vast network of publishers, book authors, narrators, producers, artists and studios.",https://www.linkedin.com/company/alrawi/,http://facebook.com/alrawibooks,https://twitter.com/alrawibooks,http://alrawi.com/en,For Profit,Hala Ahmed Sulaiman,1-10,Gulf Cooperation Council (GCC),"EBooks, Events, Internet, Internet of Things, Music, Publishing",,,,577,"5,325,692","Content and Publishing, Events, Internet Services, Media and Entertainment, Music and Audio",$1M to $10M,"1,823.33%",23,2,1,2013-01-01,year,Active,,,,,,,1,2018-12-12,,,,,,,,,,,Non-equity Assistance,,,,Pitch@Palace,1,1,,,,,,,,,,,,,,,,,-20.11%,1,"2,396",,,,,,
CrediMax B.S.C.,https://www.crunchbase.com/organization/credimax-b-s-c,"Manama, Al Manamah, Bahrain",CrediMax B.S.C. provides credit card issuing and acquiring services.,"349,245",credimax@credimax.com.bh,973 -17117117,,,https://www.facebook.com/credimaxbscbh/,,https://www.credimax.com.bh,For Profit,,11-50,Gulf Cooperation Council (GCC),"Credit Cards, Finance, Financial Services",,,,"9,806","1,305,189","Financial Services, Lending and Investments, Payments",$1M to $10M,-62.27%,29,,,,,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.76%,4.87,,,,,,,
Technobay,https://www.crunchbase.com/organization/technobay,"Manama, Al Manamah, Bahrain",Technobay is a leading innovative software solution provider with an extensive experience in global business space.,"351,583",info@technobay.org,973 17180551 ,"Technobay is a leading innovative software solution provider with an extensive experience in global business space. Technobay is headquartered in Bahrain with the major offshore development centre in India The objective of the company is to leverage its Business Experience and Technical Expertise to provide Integrated Solutions to several vertical industry segments across the globe.They at Technobay offer a wide range of IT services with world-class quality and support. They ensure that there is no room for compromise when you strive for excellence Technobay provides the most complete, and integrated ERP business software solutions, with various high profile customers standing beside them in their success representing a variety of sizes and industries. Technobay's product strategy provides flexibility and choice to their customers across their infrastructure.. In addition, Technobay gives their customers unmatched benefits including excellent system availability, scalability, energy efficiency, powerful performance, and low total cost of ownership. They believe that everyone should be free to get the most from technology. Along the way, They have amassed a tremendous amount of experience and knowledge about business software solutions and incorporated the same.",https://www.linkedin.com/company/technobay/,https://www.facebook.com/technobaybahrain/,https://twitter.com/technobay_etask,http://technobay.org/,For Profit,,,Gulf Cooperation Council (GCC),"Enterprise Resource Planning (ERP), Software",,,,,,Software,,,10,,,2004-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergo,https://www.crunchbase.com/organization/evergo,"Manama, Al Manamah, Bahrain",Evergo is a one stop shop booking application availble on both iOS and Android.,"353,269",hello@evergoapp.com,,"Evergo is a one stop shop booking application availble on both iOS and Android. Evergo’s online platform enables users to schedule and book appointments, call-backs, and all kinds of sessions with businesses across multiple sectors. The booking feature is available for both in-person and online appointments.",,https://www.facebook.com/pg/evergoapp,https://twitter.com/kmannai?lang=en,https://www.evergoapp.com/,For Profit,,1-10,Gulf Cooperation Council (GCC),"Apps, E-Commerce, Internet",,2,,,,"Apps, Commerce and Shopping, Internet Services, Software",,,36,,,2018-01-01,year,Active,,,,,,Seed,1,2020-05-19,,,,,,,Seed,,,,Seed,,,,Tenmou,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
LocalBH,https://www.crunchbase.com/organization/localbh,"Manama, Al Manamah, Bahrain",Internet Media Company,"358,657",info@localbh.com,,"LocalBH is a Bahraini digital publisher targeting millennials and Gen Z. With curated English-language editorial content, real-time news, and influencer marketing, LocalBH appeals to a new generation of forward-thinking GCC nationals and expatriates living in the region.",,http://www.facebook.com/localbh,,http://www.localbh.com,For Profit,,1-10,Gulf Cooperation Council (GCC),"Advertising, Digital Entertainment, Internet, Journalism, News, Publishing, Social, Social News, Video",,,,"3,823","2,303,081","Advertising, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Sales and Marketing, Video",,1.27%,,,,2009-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03%,1,,,,,,,
"eGovernment Authority, Kingdom of Bahrain",https://www.crunchbase.com/organization/egovernment-authority-kingdom-of-bahrain,"Manama, Al Manamah, Bahrain","eGovernment Authority, Kingdom of Bahrain is a government administration office in Bahrain.","358,892",info@ega.gov.bh,+973 8000 8001,,https://www.linkedin.com/company/igabahrain,https://www.facebook.com/egovbahrain,https://www.twitter.com/igabahrain,https://www.bahrain.bh,For Profit,,51-100,Gulf Cooperation Council (GCC),"Government, Information Technology",,1,,"288,086","164,650","Government and Military, Information Technology",$1M to $10M,-0.29%,41,40,,2004-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38%,4.22,"46,320",,,,,,
Bahrain Property World,https://www.crunchbase.com/organization/bahrain-property-world,"Manama, Al Manamah, Bahrain",Bahrain Property World is a pioneering property portal.,"358,924",,,Bahrain Property World is a pioneering property portal. Offering thousands of the best beautiful properties for Rent and for Sale with daily new listings from the best Real Estate agents.,https://www.linkedin.com/company/bahrainpropertyworld,,,https://www.bahrainpropertyworld.com,For Profit,,1-10,Gulf Cooperation Council (GCC),Real Estate,,1,,,,Real Estate,,,7,,,,,Active,,,,,,M&A,,,,,,,,,,,,,,,,,,,,,Was Acquired,Bahrain Property World acquired by Property Finder,https://www.crunchbase.com/acquisition/propertyfinder-acquires-bahrain-property-world--11fd530f,Property Finder,https://www.crunchbase.com/organization/propertyfinder,,,,Acquisition,,,,,,,,,,,,,,,
VibeMedia,https://www.crunchbase.com/organization/vibe-media-access-network,"Isa Town, Madinat, Bahrain",Vibe design media hub is a workplace + workspace that focused on creating solutions through design and media.,"361,573",,+973 7700 6377,,https://www.linkedin.com/company/vibe-media-hub,https://www.facebook.com/341582622608088,https://www.twitter.com/vibe_media,http://vibemedia.me/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Advertising, Internet, Web Design",,,,,,"Advertising, Design, Internet Services, Sales and Marketing",$1M to $10M,,12,,,2012-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stc Bahrain,https://www.crunchbase.com/organization/stc-bahrain,"Manama, Al Manamah, Bahrain",stc Bahrain is a telecommunications service provider company.,"363,194",customercare@stc.com.bh,973-3312-4124,,https://www.linkedin.com/company/stcbahrain/,https://www.facebook.com/stc.bhr,https://twitter.com/stc_bhr,https://www.stc.com.bh/,For Profit,,501-1000,Gulf Cooperation Council (GCC),"Mobile, Telecommunications",,,,"60,209","452,944","Hardware, Mobile",,-69.23%,66,,,2010-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.74%,4.64,,,,,,,
Global iTS,https://www.crunchbase.com/organization/global-its,"Manama, Al Manamah, Bahrain",Global ITS established to deliver region-class solutions addressing the local business needs.,"363,418",info@globalits.bh,+973 1755 1910,"Global ITS established to deliver region-class solutions addressing the local business needs. Global ITS offers state of the art technologies including: IT Consultancy Services, Outsourcing Services, Infrastructure solutions, Enterprise Resource Planning , Financial & Business Solutions, Customer Relationship Management, Portals & Content Management solutions, Imaging, Archiving, Document Management, Workflow Automation solutions & Education Information solutions.    Global ITS, a Microsoft Gold Certified Partner, became a leading Microsoft Dynamics ERP and CRM solution provider having existence in Bahrain, Saudi Arabia, and other parts of the Middle East. We are the market leaders dealing in Microsoft Dynamics ERP products such as Great Plains, Axapta, and Microsoft CRM; in addition to other Data Warehousing and Business Intelligence solutions",https://www.linkedin.com/company/global-its---bahrain,https://www.facebook.com/globalits.bh,https://www.twitter.com/globalitswll,http://www.globalits.bh,For Profit,,11-50,Gulf Cooperation Council (GCC),"CRM, Software",,,,603,"4,998,743","Information Technology, Sales and Marketing, Software",$10M to $50M,,31,1,,2009-01-01,year,Active,,,,,,,1,2014-11-08,,,,,,,Equity Crowdfunding,,,,Equity Crowdfunding,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Perpetual Group,https://www.crunchbase.com/organization/perpetual-group,"Al Manama, Al Manamah, Bahrain",Perpetual provides financial and marketing services that help small to large businesses achieve profitability and long-term growth.,"367,573",,00973 - 3920 4320,,https://www.linkedin.com/company/perpetualstrategicservices/,,https://twitter.com/perpetualtc,https://www.perpetualgroup.com/,For Profit,,11-50,Gulf Cooperation Council (GCC),"Financial Services, Marketing",,,,836,"4,936,842","Financial Services, Sales and Marketing",,-46.68%,29,,,2012-01-01,day,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2%,4.25,,,,,,,
Almoayyed Computers,https://www.crunchbase.com/organization/almoayyed-computers,"Manama, Al Manamah, Bahrain","ALMOAYYED Computers is the leading Systems, Solutions and Technical Services Company in Bahrain.","368,306",acsales@almoayyedcomputers.com,+973 1770 0777,"ALMOAYYED Computers (AC) is the leading Systems, Solutions and Technical Services Company in Bahrain . They solve their customers' mission-critical problems with innovative applications of technology, products and expertise.As one of the pioneering Divisions of the Almoayyed International Group (AIG), ALMOAYYED Computers has been at the forefront of technology innovation and solutions delivery and provides outstanding value and services to its Clients. Today, they are Bahrain 's leading ICT Solutions Company with Solutions being successfully delivered and supported for a wide range of industries. Their ability, Quality Systems, Processes and efforts are to deliver the right solution for their Client.Their Corporate (AIG) philosophy has continually sought to apply the industry best-practices to effectively address their Client challenges by leveraging the latest in technology and developing integrated solutions that work specifically to address such challenges.",https://www.linkedin.com/company/almoayyed-computers/,https://www.facebook.com/almoayyedcomputers,https://twitter.com/Almoayyedcomput,http://www.almoayyedcomputers.com,For Profit,Farouk Almoayyed,501-1000,Gulf Cooperation Council (GCC),"Computer, Consumer Electronics, Information Technology",,,,,,"Consumer Electronics, Hardware, Information Technology",,,13,,1,1979-01-01,year,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
